ap-southeast-2,eu-central-1,eu-west-3,us-east-1,us-east-2,us-west-1
3.42,248.24,279.53,198.31,188.03,139.67
248.32,3.32,11.65,92.04,101.64,151.48
279.63,12.25,3.63,83.03,92.86,143.28
198.66,91.88,82.79,4.76,12.92,62.22
188.15,101.58,93.42,16.1,1.39,52.25
138.71,151.43,142.68,62.15,51.6,3.9
