timestamp,datetime,ap-southeast-2,eu-central-1,eu-west-3,us-east-1,us-east-2,us-west-1
1660251600,11-08-2022 17:00,214,382,149,208,51,41
1660255200,11-08-2022 18:00,147,416,154,211,54,43
1660258800,11-08-2022 19:00,106,462,172,217,53,45
1660262400,11-08-2022 20:00,77,473,184,220,54,47
1660266000,11-08-2022 21:00,74,417,179,222,57,51
1660269600,11-08-2022 22:00,91,295,141,229,56,52
1660273200,11-08-2022 23:00,128,188,92,240,58,51
1660276800,12-08-2022 00:00,156,120,58,265,62,53
1660280400,12-08-2022 01:00,205,87,39,300,71,57
1660284000,12-08-2022 02:00,248,73,25,291,72,59
1660287600,12-08-2022 03:00,267,71,21,245,75,64
1660291200,12-08-2022 04:00,289,95,23,184,69,67
1660294800,12-08-2022 05:00,302,149,37,122,50,67
1660298400,12-08-2022 06:00,308,228,64,79,35,55
1660302000,12-08-2022 07:00,317,299,92,55,22,41
1660305600,12-08-2022 08:00,314,346,120,43,15,30
1660309200,12-08-2022 09:00,299,370,133,43,12,22
1660312800,12-08-2022 10:00,312,379,141,57,11,18
1660316400,12-08-2022 11:00,356,392,149,95,14,14
1660320000,12-08-2022 12:00,368,402,160,136,21,15
1660323600,12-08-2022 13:00,368,396,161,168,32,18
1660327200,12-08-2022 14:00,364,384,163,191,40,29
1660330800,12-08-2022 15:00,338,383,158,197,46,35
1660334400,12-08-2022 16:00,276,371,179,205,50,43
1660338000,12-08-2022 17:00,222,383,173,215,53,45
1660341600,12-08-2022 18:00,161,426,183,220,55,46
1660345200,12-08-2022 19:00,115,483,205,229,58,50
1660348800,12-08-2022 20:00,86,476,225,223,57,51
1660352400,12-08-2022 21:00,79,424,218,215,58,53
1660356000,12-08-2022 22:00,90,315,167,222,59,54
1660359600,12-08-2022 23:00,127,204,114,232,59,52
1660363200,13-08-2022 00:00,163,127,74,254,63,56
1660366800,13-08-2022 01:00,211,87,47,275,67,57
1660370400,13-08-2022 02:00,249,69,32,278,71,61
1660374000,13-08-2022 03:00,261,67,27,246,76,63
1660377600,13-08-2022 04:00,297,83,27,183,68,66
1660381200,13-08-2022 05:00,312,125,42,126,52,65
1660384800,13-08-2022 06:00,319,192,69,87,37,56
1660388400,13-08-2022 07:00,325,249,101,60,24,43
1660392000,13-08-2022 08:00,321,299,125,44,18,32
1660395600,13-08-2022 09:00,319,322,143,38,12,23
1660399200,13-08-2022 10:00,313,339,167,45,11,17
1660402800,13-08-2022 11:00,318,358,170,73,12,15
1660406400,13-08-2022 12:00,342,364,185,118,19,14
1660410000,13-08-2022 13:00,362,362,180,147,29,17
1660413600,13-08-2022 14:00,353,364,182,170,38,25
1660417200,13-08-2022 15:00,341,363,179,184,45,33
1660420800,13-08-2022 16:00,291,363,175,192,49,39
1660424400,13-08-2022 17:00,222,334,172,194,50,45
1660428000,13-08-2022 18:00,170,420,183,210,56,47
1660431600,13-08-2022 19:00,121,471,202,209,55,48
1660435200,13-08-2022 20:00,88,472,214,212,57,49
1660438800,13-08-2022 21:00,79,419,208,218,58,51
1660442400,13-08-2022 22:00,94,314,168,220,59,52
1660446000,13-08-2022 23:00,126,203,113,231,61,54
1660449600,14-08-2022 00:00,156,131,75,255,65,56
1660453200,14-08-2022 01:00,207,86,47,272,67,57
1660456800,14-08-2022 02:00,232,68,32,277,72,60
1660460400,14-08-2022 03:00,262,64,25,247,75,63
1660464000,14-08-2022 04:00,312,78,26,194,71,67
1660467600,14-08-2022 05:00,317,118,37,134,54,65
1660471200,14-08-2022 06:00,329,182,65,92,40,57
1660474800,14-08-2022 07:00,339,252,100,65,27,45
1660478400,14-08-2022 08:00,324,314,128,46,18,34
1660482000,14-08-2022 09:00,315,337,147,38,13,25
1660485600,14-08-2022 10:00,330,371,164,42,11,19
1660489200,14-08-2022 11:00,343,381,176,62,11,13
1660492800,14-08-2022 12:00,384,387,187,102,16,13
1660496400,14-08-2022 13:00,392,391,190,144,27,15
1660500000,14-08-2022 14:00,386,392,194,173,39,23
1660503600,14-08-2022 15:00,351,398,192,193,46,33
1660507200,14-08-2022 16:00,288,407,198,206,50,40
1660510800,14-08-2022 17:00,230,399,189,211,53,44
1660514400,14-08-2022 18:00,171,435,196,221,57,47
1660518000,14-08-2022 19:00,122,483,219,229,61,50
1660521600,14-08-2022 20:00,87,486,233,244,62,55
1660525200,14-08-2022 21:00,80,422,217,242,66,55
1660528800,14-08-2022 22:00,94,292,172,246,65,57
1660532400,14-08-2022 23:00,127,180,111,263,69,58
1660536000,15-08-2022 00:00,163,113,71,278,69,57
1660539600,15-08-2022 01:00,210,80,45,298,71,60
1660543200,15-08-2022 02:00,259,65,32,295,80,64
1660546800,15-08-2022 03:00,281,65,24,246,79,65
1660550400,15-08-2022 04:00,300,87,27,180,68,69
1660554000,15-08-2022 05:00,309,135,40,122,52,67
1660557600,15-08-2022 06:00,321,202,69,82,33,53
1660561200,15-08-2022 07:00,337,267,104,56,23,40
1660564800,15-08-2022 08:00,326,313,133,43,15,29
1660568400,15-08-2022 09:00,315,343,150,40,12,22
1660572000,15-08-2022 10:00,316,363,157,51,11,16
1660575600,15-08-2022 11:00,340,372,166,80,12,14
1660579200,15-08-2022 12:00,356,380,182,118,21,14
1660582800,15-08-2022 13:00,372,381,185,151,29,16
1660586400,15-08-2022 14:00,381,378,189,183,38,25
1660590000,15-08-2022 15:00,333,376,187,199,45,34
1660593600,15-08-2022 16:00,282,372,189,208,50,39
1660597200,15-08-2022 17:00,222,392,192,219,52,41
1660600800,15-08-2022 18:00,155,421,192,229,55,45
1660604400,15-08-2022 19:00,108,479,216,231,55,48
1660608000,15-08-2022 20:00,79,503,228,233,56,50
1660611600,15-08-2022 21:00,75,401,213,230,57,51
1660615200,15-08-2022 22:00,92,276,167,236,57,52
1660618800,15-08-2022 23:00,134,167,104,246,57,51
1660622400,16-08-2022 00:00,162,107,67,272,61,53
1660626000,16-08-2022 01:00,208,74,42,297,67,54
1660629600,16-08-2022 02:00,249,62,29,285,71,59
1660633200,16-08-2022 03:00,274,64,24,242,76,63
1660636800,16-08-2022 04:00,309,87,27,174,63,66
1660640400,16-08-2022 05:00,315,146,45,123,49,64
1660644000,16-08-2022 06:00,320,208,74,74,32,52
1660647600,16-08-2022 07:00,338,272,105,53,21,40
1660651200,16-08-2022 08:00,322,309,128,43,14,28
1660654800,16-08-2022 09:00,309,333,144,40,11,21
1660658400,16-08-2022 10:00,309,351,157,55,12,17
1660662000,16-08-2022 11:00,341,366,164,91,14,14
1660665600,16-08-2022 12:00,357,367,177,129,20,13
1660669200,16-08-2022 13:00,369,373,179,163,29,17
1660672800,16-08-2022 14:00,361,365,181,188,38,25
1660676400,16-08-2022 15:00,329,348,176,198,45,33
1660680000,16-08-2022 16:00,286,361,172,198,48,38
1660683600,16-08-2022 17:00,219,382,175,217,52,44
1660687200,16-08-2022 18:00,155,418,181,224,56,45
1660690800,16-08-2022 19:00,106,464,201,221,55,45
1660694400,16-08-2022 20:00,79,500,231,224,56,50
1660698000,16-08-2022 21:00,73,406,215,227,57,52
1660701600,16-08-2022 22:00,90,278,162,228,55,51
1660705200,16-08-2022 23:00,125,175,107,246,58,52
1660708800,17-08-2022 00:00,159,108,67,277,62,54
1660712400,17-08-2022 01:00,197,76,42,299,68,56
1660716000,17-08-2022 02:00,240,64,29,297,74,60
1660719600,17-08-2022 03:00,269,67,25,244,78,64
1660723200,17-08-2022 04:00,309,89,27,175,66,68
1660726800,17-08-2022 05:00,306,142,44,115,47,64
1660730400,17-08-2022 06:00,311,209,73,75,33,52
1660734000,17-08-2022 07:00,323,269,108,53,20,38
1660737600,17-08-2022 08:00,310,308,132,41,15,27
1660741200,17-08-2022 09:00,311,339,150,40,11,21
1660744800,17-08-2022 10:00,308,348,160,53,11,16
1660748400,17-08-2022 11:00,329,366,169,88,13,14
1660752000,17-08-2022 12:00,355,365,181,129,21,13
1660755600,17-08-2022 13:00,362,367,180,163,33,17
1660759200,17-08-2022 14:00,362,356,184,187,39,26
1660762800,17-08-2022 15:00,320,350,179,197,44,31
1660766400,17-08-2022 16:00,296,351,175,200,49,39
1660770000,17-08-2022 17:00,210,372,172,211,51,41
1660773600,17-08-2022 18:00,153,399,188,213,53,42
1660777200,17-08-2022 19:00,104,466,231,221,52,44
1660780800,17-08-2022 20:00,75,467,232,226,54,50
1660784400,17-08-2022 21:00,75,401,221,222,55,50
1660788000,17-08-2022 22:00,93,278,167,231,55,50
1660791600,17-08-2022 23:00,129,175,124,249,56,51
1660795200,18-08-2022 00:00,158,109,74,271,62,52
1660798800,18-08-2022 01:00,208,77,46,291,66,53
1660802400,18-08-2022 02:00,249,62,32,294,72,57
1660806000,18-08-2022 03:00,267,65,26,246,74,61
1660809600,18-08-2022 04:00,301,89,29,168,64,65
1660813200,18-08-2022 05:00,293,138,48,112,46,61
1660816800,18-08-2022 06:00,305,209,83,73,32,48
1660820400,18-08-2022 07:00,311,267,121,52,21,37
1660824000,18-08-2022 08:00,343,308,148,42,15,27
1660827600,18-08-2022 09:00,299,332,167,39,12,21
1660831200,18-08-2022 10:00,290,346,172,52,10,16
1660834800,18-08-2022 11:00,317,368,186,88,14,13
1660838400,18-08-2022 12:00,344,364,200,127,20,13
1660842000,18-08-2022 13:00,352,360,195,160,32,16
1660845600,18-08-2022 14:00,343,349,196,187,38,24
1660849200,18-08-2022 15:00,313,350,189,194,47,33
1660852800,18-08-2022 16:00,263,344,184,201,49,39
1660856400,18-08-2022 17:00,204,363,184,215,53,45
1660860000,18-08-2022 18:00,149,391,188,216,54,45
1660863600,18-08-2022 19:00,148,647,298,308,76,68
1660867200,18-08-2022 20:00,106,638,307,299,73,69
1660870800,18-08-2022 21:00,106,542,291,293,75,67
1660874400,18-08-2022 22:00,124,368,213,300,75,67
1660878000,18-08-2022 23:00,122,183,117,249,59,54
1660881600,19-08-2022 00:00,216,139,84,368,84,74
1660885200,19-08-2022 01:00,261,96,53,378,91,76
