timestamp,datetime,ap-southeast-2,eu-central-1,eu-west-3,us-east-1,us-east-2,us-west-1
1660888800,19-08-2022 02:00,308,78,37,373,98,81
1660892400,19-08-2022 03:00,328,81,32,310,96,84
1660896000,19-08-2022 04:00,370,111,36,221,85,88
1660899600,19-08-2022 05:00,363,180,55,142,59,80
1660903200,19-08-2022 06:00,367,266,96,94,38,63
1660906800,19-08-2022 07:00,376,344,138,64,24,48
1660910400,19-08-2022 08:00,369,391,169,49,17,34
1660914000,19-08-2022 09:00,359,421,186,46,13,26
1660917600,19-08-2022 10:00,360,425,194,68,12,21
1660921200,19-08-2022 11:00,391,446,209,108,16,17
1660924800,19-08-2022 12:00,418,447,220,160,26,18
1660928400,19-08-2022 13:00,440,442,221,204,38,22
1660932000,19-08-2022 14:00,429,435,218,229,49,32
1660935600,19-08-2022 15:00,372,436,209,231,55,40
1660939200,19-08-2022 16:00,314,437,203,234,57,48
1660942800,19-08-2022 17:00,254,451,205,245,61,53
1660946400,19-08-2022 18:00,189,489,213,247,63,53
1660950000,19-08-2022 19:00,133,559,249,245,62,54
1660953600,19-08-2022 20:00,97,572,264,245,63,56
1660957200,19-08-2022 21:00,89,495,254,242,64,60
1660960800,19-08-2022 22:00,104,356,194,246,64,59
1660964400,19-08-2022 23:00,142,225,130,259,66,59
1660968000,20-08-2022 00:00,181,143,82,290,71,61
1660971600,20-08-2022 01:00,218,95,51,317,77,64
1660975200,20-08-2022 02:00,255,73,34,317,82,67
1660978800,20-08-2022 03:00,285,69,28,272,84,73
1660982400,20-08-2022 04:00,328,88,29,206,75,77
1660986000,20-08-2022 05:00,330,136,42,139,58,74
1660989600,20-08-2022 06:00,354,209,75,94,39,61
1660993200,20-08-2022 07:00,351,284,110,62,26,47
1660996800,20-08-2022 08:00,347,334,138,49,18,34
1661000400,20-08-2022 09:00,344,368,159,42,13,25
1661004000,20-08-2022 10:00,362,382,169,48,11,20
1661007600,20-08-2022 11:00,373,393,183,79,12,16
1661011200,20-08-2022 12:00,397,400,202,126,19,16
1661014800,20-08-2022 13:00,398,412,202,165,32,18
1661018400,20-08-2022 14:00,397,407,198,195,43,27
1661022000,20-08-2022 15:00,367,406,198,210,49,37
1661025600,20-08-2022 16:00,308,412,194,217,55,44
1661029200,20-08-2022 17:00,253,438,197,229,58,47
1661032800,20-08-2022 18:00,187,487,205,240,60,50
1661036400,20-08-2022 19:00,130,545,226,238,62,52
1661040000,20-08-2022 20:00,94,576,256,242,63,55
1661043600,20-08-2022 21:00,85,506,264,247,65,57
1661047200,20-08-2022 22:00,100,370,196,253,67,58
1661050800,20-08-2022 23:00,131,229,131,261,65,60
1661054400,21-08-2022 00:00,178,152,86,290,70,61
1661058000,21-08-2022 01:00,208,99,54,310,76,62
1661061600,21-08-2022 02:00,255,74,35,315,79,67
1661065200,21-08-2022 03:00,277,73,28,283,85,75
1661068800,21-08-2022 04:00,317,84,27,211,77,74
1661072400,21-08-2022 05:00,330,129,40,151,59,73
1661076000,21-08-2022 06:00,349,200,69,101,43,62
1661079600,21-08-2022 07:00,361,282,110,72,29,48
1661083200,21-08-2022 08:00,350,346,143,48,19,36
1661086800,21-08-2022 09:00,343,383,164,41,13,27
1661090400,21-08-2022 10:00,360,404,178,47,11,19
1661094000,21-08-2022 11:00,387,413,191,71,12,15
1661097600,21-08-2022 12:00,409,425,208,113,17,14
1661101200,21-08-2022 13:00,449,428,211,159,29,17
1661104800,21-08-2022 14:00,417,431,216,199,40,24
1661108400,21-08-2022 15:00,379,439,208,219,49,35
1661112000,21-08-2022 16:00,299,428,209,229,56,44
1661115600,21-08-2022 17:00,238,452,214,249,60,50
1661119200,21-08-2022 18:00,172,491,216,257,63,51
1661122800,21-08-2022 19:00,116,552,245,265,66,53
1661126400,21-08-2022 20:00,84,538,258,266,66,55
1661130000,21-08-2022 21:00,78,448,243,275,66,58
1661133600,21-08-2022 22:00,96,298,178,278,70,59
1661137200,21-08-2022 23:00,130,186,112,286,71,59
1661140800,22-08-2022 00:00,163,114,70,312,74,61
1661144400,22-08-2022 01:00,212,79,44,335,81,65
1661148000,22-08-2022 02:00,266,65,30,317,86,68
1661151600,22-08-2022 03:00,289,68,26,277,86,72
1661155200,22-08-2022 04:00,326,93,30,199,75,77
1661158800,22-08-2022 05:00,323,145,46,132,57,74
1661162400,22-08-2022 06:00,335,216,76,84,37,59
1661166000,22-08-2022 07:00,340,282,112,57,23,42
1661169600,22-08-2022 08:00,344,328,138,45,17,31
1661173200,22-08-2022 09:00,334,364,161,44,12,26
1661176800,22-08-2022 10:00,339,379,172,57,12,18
1661180400,22-08-2022 11:00,359,398,183,99,15,14
1661184000,22-08-2022 12:00,395,396,195,147,23,14
1661187600,22-08-2022 13:00,412,400,193,182,35,18
1661191200,22-08-2022 14:00,399,391,194,206,44,28
1661194800,22-08-2022 15:00,349,382,190,218,50,35
1661198400,22-08-2022 16:00,302,384,184,222,53,42
1661202000,22-08-2022 17:00,227,400,188,237,57,46
1661205600,22-08-2022 18:00,154,445,191,239,60,48
1661209200,22-08-2022 19:00,107,502,223,244,59,50
1661212800,22-08-2022 20:00,82,515,249,245,61,53
1661216400,22-08-2022 21:00,81,412,226,246,61,55
1661220000,22-08-2022 22:00,97,282,168,252,61,55
1661223600,22-08-2022 23:00,135,173,109,269,62,56
1661227200,23-08-2022 00:00,168,108,69,296,66,55
1661230800,23-08-2022 01:00,218,76,42,325,74,57
1661234400,23-08-2022 02:00,263,65,30,320,84,64
1661238000,23-08-2022 03:00,291,68,25,261,84,69
1661241600,23-08-2022 04:00,341,93,29,176,70,72
1661245200,23-08-2022 05:00,324,150,46,118,50,68
1661248800,23-08-2022 06:00,336,221,78,75,33,55
1661252400,23-08-2022 07:00,342,288,116,54,21,39
1661256000,23-08-2022 08:00,339,328,140,43,14,29
1661259600,23-08-2022 09:00,326,356,163,42,11,23
1661263200,23-08-2022 10:00,332,367,169,57,10,17
1661266800,23-08-2022 11:00,357,387,178,94,14,14
1661270400,23-08-2022 12:00,392,386,191,142,23,15
1661274000,23-08-2022 13:00,396,385,191,180,36,18
1661277600,23-08-2022 14:00,398,375,195,199,43,27
1661281200,23-08-2022 15:00,354,370,187,210,51,34
1661284800,23-08-2022 16:00,480,372,184,216,55,41
1661288400,23-08-2022 17:00,224,386,183,224,56,44
1661292000,23-08-2022 18:00,161,423,188,225,59,46
1661295600,23-08-2022 19:00,110,486,218,237,59,47
1661299200,23-08-2022 20:00,79,519,265,237,60,52
1661302800,23-08-2022 21:00,76,417,242,236,61,52
1661306400,23-08-2022 22:00,96,278,176,244,61,54
1661310000,23-08-2022 23:00,136,173,107,261,63,54
1661313600,24-08-2022 00:00,164,109,67,294,67,55
1661317200,24-08-2022 01:00,216,76,43,324,75,56
1661320800,24-08-2022 02:00,261,63,31,310,82,63
1661324400,24-08-2022 03:00,282,67,24,260,84,66
1661328000,24-08-2022 04:00,313,93,29,181,70,72
1661331600,24-08-2022 05:00,307,145,47,117,49,66
1661335200,24-08-2022 06:00,327,213,79,74,32,53
1661338800,24-08-2022 07:00,333,280,111,53,21,38
1661342400,24-08-2022 08:00,327,322,140,41,15,29
1661346000,24-08-2022 09:00,319,344,177,42,11,21
1661349600,24-08-2022 10:00,337,363,184,56,11,16
1661353200,24-08-2022 11:00,358,372,195,96,14,14
1661356800,24-08-2022 12:00,378,375,211,135,23,14
1661360400,24-08-2022 13:00,403,387,208,181,35,19
1661364000,24-08-2022 14:00,388,374,195,198,44,27
1661367600,24-08-2022 15:00,343,363,188,204,52,34
1661371200,24-08-2022 16:00,298,361,182,220,54,40
1661374800,24-08-2022 17:00,235,377,180,222,56,44
1661378400,24-08-2022 18:00,161,412,187,223,59,46
1661382000,24-08-2022 19:00,113,458,214,232,58,48
1661385600,24-08-2022 20:00,79,466,239,232,60,51
1661389200,24-08-2022 21:00,74,406,226,231,59,53
1661392800,24-08-2022 22:00,93,274,171,236,61,52
1661396400,24-08-2022 23:00,130,167,106,253,62,52
1661400000,25-08-2022 00:00,161,106,66,276,69,54
1661403600,25-08-2022 01:00,214,74,42,310,73,56
1661407200,25-08-2022 02:00,252,61,29,299,80,60
1661410800,25-08-2022 03:00,279,66,24,246,82,64
1661414400,25-08-2022 04:00,303,91,29,175,67,72
1661418000,25-08-2022 05:00,307,143,48,117,49,64
1661421600,25-08-2022 06:00,319,211,80,76,33,51
1661425200,25-08-2022 07:00,326,275,113,51,21,37
1661428800,25-08-2022 08:00,313,317,138,42,13,27
1661432400,25-08-2022 09:00,310,339,155,41,11,20
1661436000,25-08-2022 10:00,319,359,183,55,11,16
1661439600,25-08-2022 11:00,346,370,191,92,14,14
1661443200,25-08-2022 12:00,371,374,206,135,22,14
1661446800,25-08-2022 13:00,562,529,270,252,50,28
1661450400,25-08-2022 14:00,512,487,251,260,62,37
1661454000,25-08-2022 15:00,443,470,244,272,67,49
1661457600,25-08-2022 16:00,472,466,232,276,69,56
1661461200,25-08-2022 17:00,283,487,233,285,75,59
1661464800,25-08-2022 18:00,204,526,242,288,75,63
1661468400,25-08-2022 19:00,135,598,277,287,74,62
1661472000,25-08-2022 20:00,98,610,305,281,74,65
1661475600,25-08-2022 21:00,99,497,283,283,75,67
1661479200,25-08-2022 22:00,127,347,212,291,74,66
1661482800,25-08-2022 23:00,172,209,132,313,79,65
1661486400,26-08-2022 00:00,210,129,80,335,82,67
1661490000,26-08-2022 01:00,258,89,50,378,89,71
1661493600,26-08-2022 02:00,307,73,35,372,97,76
1661497200,26-08-2022 03:00,339,77,29,299,98,82
1661500800,26-08-2022 04:00,369,104,34,213,76,93
1661504400,26-08-2022 05:00,355,173,58,136,53,83
1661508000,26-08-2022 06:00,374,255,97,88,36,68
1661511600,26-08-2022 07:00,372,337,137,62,22,47
1661515200,26-08-2022 08:00,359,372,164,49,15,34
1661518800,26-08-2022 09:00,357,395,179,47,11,26
1661522400,26-08-2022 10:00,359,407,189,64,12,20
1661526000,26-08-2022 11:00,396,429,203,110,16,17
1661529600,26-08-2022 12:00,415,426,219,159,26,16
1661533200,26-08-2022 13:00,428,421,212,194,36,22
1661536800,26-08-2022 14:00,426,423,217,220,51,31
1661540400,26-08-2022 15:00,379,416,211,236,57,42
1661544000,26-08-2022 16:00,313,416,203,237,60,52
1661547600,26-08-2022 17:00,263,439,199,248,62,55
1661551200,26-08-2022 18:00,184,481,209,253,62,59
1661554800,26-08-2022 19:00,126,538,246,252,61,58
1661558400,26-08-2022 20:00,93,543,259,244,62,61
1661562000,26-08-2022 21:00,89,480,252,248,64,63
1661565600,26-08-2022 22:00,104,343,191,258,62,62
1661569200,26-08-2022 23:00,140,216,130,265,63,64
1661572800,27-08-2022 00:00,176,136,81,299,68,63
1661576400,27-08-2022 01:00,228,88,53,323,74,66
1661580000,27-08-2022 02:00,256,71,35,326,82,73
1661583600,27-08-2022 03:00,285,70,28,279,84,77
1661587200,27-08-2022 04:00,322,88,29,211,74,86
1661590800,27-08-2022 05:00,337,134,44,144,54,80
1661594400,27-08-2022 06:00,345,205,77,96,36,63
1661598000,27-08-2022 07:00,368,280,114,65,25,47
1661601600,27-08-2022 08:00,347,331,142,48,16,35
1661605200,27-08-2022 09:00,343,361,162,44,12,26
1661608800,27-08-2022 10:00,389,378,173,50,11,20
1661612400,27-08-2022 11:00,394,385,183,80,12,15
1661616000,27-08-2022 12:00,396,397,203,124,19,15
1661619600,27-08-2022 13:00,415,394,202,164,31,19
1661623200,27-08-2022 14:00,415,396,200,193,42,28
1661626800,27-08-2022 15:00,403,402,200,210,49,38
1661630400,27-08-2022 16:00,342,405,198,219,54,44
1661634000,27-08-2022 17:00,258,422,191,230,59,51
1661637600,27-08-2022 18:00,189,473,200,239,61,53
1661641200,27-08-2022 19:00,134,532,224,240,60,55
1661644800,27-08-2022 20:00,94,538,253,245,62,57
1661648400,27-08-2022 21:00,82,473,249,250,64,62
1661652000,27-08-2022 22:00,96,346,194,260,66,61
1661655600,27-08-2022 23:00,136,218,129,267,67,62
1661659200,28-08-2022 00:00,199,134,85,286,70,66
1661662800,28-08-2022 01:00,220,91,54,320,75,66
1661666400,28-08-2022 02:00,256,70,36,326,81,72
1661670000,28-08-2022 03:00,283,66,26,279,85,75
1661673600,28-08-2022 04:00,322,81,27,219,75,85
1661677200,28-08-2022 05:00,347,125,38,152,56,77
1661680800,28-08-2022 06:00,363,197,71,99,39,66
1661684400,28-08-2022 07:00,369,277,111,67,26,50
1661688000,28-08-2022 08:00,353,339,142,49,20,37
1661691600,28-08-2022 09:00,349,377,167,41,13,27
1661695200,28-08-2022 10:00,360,396,181,45,12,20
1661698800,28-08-2022 11:00,418,412,190,72,12,15
1661702400,28-08-2022 12:00,436,426,210,118,18,15
1661706000,28-08-2022 13:00,424,414,217,163,28,18
1661709600,28-08-2022 14:00,409,416,210,199,41,26
1661713200,28-08-2022 15:00,373,421,220,218,50,37
1661716800,28-08-2022 16:00,289,434,213,230,55,46
1661720400,28-08-2022 17:00,224,445,208,245,60,50
1661724000,28-08-2022 18:00,156,484,218,257,63,54
1661727600,28-08-2022 19:00,123,535,243,260,64,56
1661731200,28-08-2022 20:00,82,537,261,263,66,59
1661734800,28-08-2022 21:00,77,438,252,269,68,61
1661738400,28-08-2022 22:00,95,291,173,285,70,63
1661742000,28-08-2022 23:00,127,183,113,293,71,65
1661745600,29-08-2022 00:00,164,116,69,314,74,66
1661749200,29-08-2022 01:00,217,81,44,358,79,67
1661752800,29-08-2022 02:00,268,66,29,349,90,72
1661756400,29-08-2022 03:00,291,69,25,278,88,78
1661760000,29-08-2022 04:00,333,91,28,195,72,81
1661763600,29-08-2022 05:00,323,147,48,128,50,76
1661767200,29-08-2022 06:00,336,217,77,80,33,60
1661770800,29-08-2022 07:00,340,285,112,56,21,43
1661774400,29-08-2022 08:00,333,331,138,42,14,32
1661778000,29-08-2022 09:00,321,364,159,42,11,23
1661781600,29-08-2022 10:00,330,375,173,57,11,18
1661785200,29-08-2022 11:00,369,401,183,98,15,16
1661788800,29-08-2022 12:00,388,399,191,145,23,15
1661792400,29-08-2022 13:00,406,395,196,179,35,19
1661796000,29-08-2022 14:00,400,389,196,210,46,27
1661799600,29-08-2022 15:00,348,386,195,223,51,37
1661803200,29-08-2022 16:00,281,381,189,223,52,44
1661806800,29-08-2022 17:00,223,408,185,240,58,48
1661810400,29-08-2022 18:00,157,449,196,247,60,50
1661814000,29-08-2022 19:00,109,553,239,243,60,53
1661817600,29-08-2022 20:00,78,520,258,249,60,56
1661821200,29-08-2022 21:00,76,413,234,251,62,56
1661824800,29-08-2022 22:00,98,278,178,251,63,58
1661828400,29-08-2022 23:00,139,168,107,276,67,59
1661832000,30-08-2022 00:00,175,105,68,310,75,61
1661835600,30-08-2022 01:00,219,72,44,336,80,63
1661839200,30-08-2022 02:00,264,61,29,321,86,70
1661842800,30-08-2022 03:00,292,63,26,257,85,72
1661846400,30-08-2022 04:00,317,92,29,178,72,77
1661850000,30-08-2022 05:00,311,146,52,117,48,71
1661853600,30-08-2022 06:00,334,220,82,74,30,55
1661857200,30-08-2022 07:00,334,288,117,53,19,39
1661860800,30-08-2022 08:00,330,324,145,41,13,30
1661864400,30-08-2022 09:00,316,351,162,42,11,22
1661868000,30-08-2022 10:00,318,363,173,58,10,16
1661871600,30-08-2022 11:00,353,380,184,96,14,14
1661875200,30-08-2022 12:00,371,381,189,142,23,14
1661878800,30-08-2022 13:00,377,381,191,181,35,19
1661882400,30-08-2022 14:00,380,370,195,202,45,27
1661886000,30-08-2022 15:00,327,366,190,211,51,35
1661889600,30-08-2022 16:00,271,361,184,219,55,42
1661893200,30-08-2022 17:00,207,391,183,239,57,47
1661896800,30-08-2022 18:00,154,423,192,238,59,49
1661900400,30-08-2022 19:00,109,486,218,242,61,51
1661904000,30-08-2022 20:00,77,490,249,238,63,53
1661907600,30-08-2022 21:00,79,463,245,252,66,58
1661911200,30-08-2022 22:00,98,275,163,250,66,55
1661914800,30-08-2022 23:00,139,170,107,273,68,57
1661918400,31-08-2022 00:00,167,104,66,306,74,58
1661922000,31-08-2022 01:00,216,73,43,336,80,63
1661925600,31-08-2022 02:00,257,62,29,313,86,66
1661929200,31-08-2022 03:00,281,66,26,259,89,70
1661932800,31-08-2022 04:00,308,95,30,180,71,77
1661936400,31-08-2022 05:00,303,154,51,113,49,70
1661940000,31-08-2022 06:00,320,227,85,73,31,53
1661943600,31-08-2022 07:00,328,288,117,52,19,39
1661947200,31-08-2022 08:00,320,326,144,41,13,29
1661950800,31-08-2022 09:00,305,349,158,41,10,21
1661954400,31-08-2022 10:00,311,364,165,56,10,16
1661958000,31-08-2022 11:00,332,373,178,96,14,13
1661961600,31-08-2022 12:00,363,374,188,139,22,14
1661965200,31-08-2022 13:00,378,370,190,174,35,19
1661968800,31-08-2022 14:00,381,361,187,199,45,27
1661972400,31-08-2022 15:00,326,357,185,208,53,35
1661976000,31-08-2022 16:00,268,355,176,206,53,41
1661979600,31-08-2022 17:00,210,389,182,227,58,48
1661983200,31-08-2022 18:00,152,427,195,228,58,49
1661986800,31-08-2022 19:00,106,479,267,232,60,50
1661990400,31-08-2022 20:00,79,483,271,235,62,52
1661994000,31-08-2022 21:00,75,378,250,234,61,54
1661997600,31-08-2022 22:00,94,262,176,239,64,56
1662001200,31-08-2022 23:00,129,159,113,255,67,53
1662004800,01-09-2022 00:00,166,101,68,287,73,57
1662008400,01-09-2022 01:00,215,69,44,323,79,60
1662012000,01-09-2022 02:00,249,60,31,324,90,67
1662015600,01-09-2022 03:00,272,64,27,252,85,72
1662019200,01-09-2022 04:00,304,93,31,178,70,77
1662022800,01-09-2022 05:00,298,144,54,115,49,68
1662026400,01-09-2022 06:00,313,213,88,76,31,55
1662030000,01-09-2022 07:00,318,280,118,51,19,40
1662033600,01-09-2022 08:00,309,313,146,43,13,29
