timestamp,datetime,ap-southeast-2,eu-central-1,eu-west-3,us-east-1,us-east-2,us-west-1
1660251600,11/8/22 17:00,5566,9915,3860,5396,1332,1065
1660255200,11/8/22 18:00,3820,10781,4001,5489,1420,1124
1660258800,11/8/22 19:00,2755,11983,4473,5627,1386,1187
1660262400,11/8/22 20:00,1996,12271,4779,5716,1422,1243
1660266000,11/8/22 21:00,1938,10810,4652,5775,1483,1330
1660269600,11/8/22 22:00,2379,7659,3657,5948,1452,1359
1660273200,11/8/22 23:00,3320,4884,2393,6222,1511,1324
1660276800,12/8/22 0:00,4060,3119,1521,6880,1616,1378
1660280400,12/8/22 1:00,5311,2254,1024,7787,1842,1480
1660284000,12/8/22 2:00,6437,1892,663,7560,1880,1546
1660287600,12/8/22 3:00,6925,1844,558,6356,1946,1669
1660291200,12/8/22 4:00,7487,2480,603,4785,1800,1756
1660294800,12/8/22 5:00,7838,3878,974,3161,1313,1741
1660298400,12/8/22 6:00,7988,5925,1667,2068,910,1435
1660302000,12/8/22 7:00,8232,7745,2393,1443,580,1086
1660305600,12/8/22 8:00,8139,8962,3129,1126,409,787
1660309200,12/8/22 9:00,7749,9585,3465,1114,325,594
1660312800,12/8/22 10:00,8102,9838,3652,1487,291,489
1660316400,12/8/22 11:00,9222,10172,3860,2463,381,379
1660320000,12/8/22 12:00,9547,10416,4158,3528,562,411
1660323600,12/8/22 13:00,9536,10269,4189,4351,854,472
1660327200,12/8/22 14:00,9441,9959,4247,4948,1050,774
1660330800,12/8/22 15:00,8775,9943,4095,5127,1211,921
1660334400,12/8/22 16:00,7168,9627,4644,5323,1302,1115
1660338000,12/8/22 17:00,5764,9921,4502,5586,1373,1171
1660341600,12/8/22 18:00,4170,11048,4760,5705,1434,1217
1660345200,12/8/22 19:00,3004,12515,5314,5931,1522,1320
1660348800,12/8/22 20:00,2236,12330,5843,5798,1500,1331
1660352400,12/8/22 21:00,2053,10988,5663,5593,1504,1383
1660356000,12/8/22 22:00,2353,8161,4336,5753,1538,1423
1660359600,12/8/22 23:00,3290,5288,2955,6014,1529,1360
1660363200,13-08-2022 00:00,4222,3294,1918,6590,1639,1460
1660366800,13-08-2022 01:00,5469,2255,1234,7147,1758,1489
1660370400,13-08-2022 02:00,6472,1811,833,7203,1850,1587
1660374000,13-08-2022 03:00,6767,1757,705,6373,1981,1640
1660377600,13-08-2022 04:00,7692,2163,716,4759,1775,1717
1660381200,13-08-2022 05:00,8097,3241,1112,3288,1349,1695
1660384800,13-08-2022 06:00,8268,4979,1810,2258,981,1456
1660388400,13-08-2022 07:00,8421,6465,2630,1566,644,1120
1660392000,13-08-2022 08:00,8322,7745,3255,1164,485,833
1660395600,13-08-2022 09:00,8266,8356,3705,986,328,616
1660399200,13-08-2022 10:00,8122,8790,4336,1172,288,456
1660402800,13-08-2022 11:00,8243,9284,4411,1893,316,395
1660406400,13-08-2022 12:00,8872,9438,4794,3062,505,368
1660410000,13-08-2022 13:00,9381,9398,4662,3826,759,443
1660413600,13-08-2022 14:00,9148,9435,4721,4416,995,652
1660417200,13-08-2022 15:00,8836,9405,4646,4781,1186,861
1660420800,13-08-2022 16:00,7554,9423,4542,4977,1289,1033
1660424400,13-08-2022 17:00,5766,8675,4461,5040,1314,1166
1660428000,13-08-2022 18:00,4417,10899,4747,5447,1451,1221
1660431600,13-08-2022 19:00,3155,12223,5255,5426,1445,1261
